ClusterID,Treatment,n_participants,YP_HAZ_36m,YP_Stunted_36m,YP_MDAT_GM_Z_36m,YP_MDAT_FM_Z_36m,YP_MDAT_LANG_Z_36m,YP_MDAT_SOC_Z_36m,YP_SRT_36m,YP_AbsGamma_36m,YP_TotalPower_36m,YP_RelGamma_36m,pre_YP_SRT_9m,pre_YP_SRT_17m,pre_YP_AbsGamma_9m,pre_YP_AbsGamma_17m,pre_YP_TotalPower_9m,pre_YP_TotalPower_17m,pre_YP_RelGamma_9m,pre_YP_RelGamma_17m,YS_DD_36m,YS_MICS_36m,X_Caregiver_Age_0m,X_Caregiver_Matric_0m,X_Wealth_Z_0m,X_Wealth_Q_0m,X_ChildGrant_0m,X_Siblings_0m,X_Facilities_0m,X_WBOTs_0m,X_CHWs_0m,X_PHCU5_0m,X_CHW_Age_0m,X_CHW_Educ_0m,X_CHW_Tenure_0m
22,0,36,-0.9938888888888889,0.2777777777777778,1.341749352271139,0.6435797836707443,-0.08476116132173683,-0.06674943837494104,333.87083333333334,-1.4792314884615385,-0.46564718538461536,0.15115748538461538,397.7990881818182,394.09538692307694,-2.4663652000000003,-1.1410477486666666,-1.9525569411764705,-0.30397424966666664,0.2558652935294118,0.18078822553333335,4.166666666666667,3.388888888888889,2.4722222222222223,0.3055555555555556,-0.08126102874324043,2.75,0.4722222222222222,0.6857142857142857,0,1,6,492.5,39,1,8.75
23,1,54,-0.7602941176470588,0.029411764705882353,1.838897341920509,0.6083780777281905,1.0019290908861542,1.0391373599120566,345.57692346153846,-1.4527477944407408,-0.4921352318518519,0.16665657866666667,385.53874875,384.59275724137933,-2.5019917826086955,-1.1393287743666667,-1.9876597173913044,-0.39100949522,0.26304244091304346,0.19053813563333333,4.235294117647059,3.823529411764706,2.888888888888889,0.3584905660377358,-0.10370619835089917,2.7962962962962963,0.3333333333333333,0.71698113207547165,1,2,30,1524,37,1,8.5
24,1,45,-0.3084375,0,1.26786609706279,0.5772842046267774,0.9583740687764531,1.1210204507531147,340.16347565217393,-1.5609093568181818,-0.600377008909091,0.15759813163636363,395.7028557142857,399.51809714285713,-2.611287970833333,-1.2388823838461538,-2.1514145004166667,-0.4887158111653846,0.2704797579166667,0.18718391115384617,4.875,2.8125,2.8222222222222224,0.5555555555555556,0.46661775457066024,3.7111111111111112,0.28888888888888886,0.4883720930232558,0,2,17,715.1,41,0.5,7.9
25,0,28,-0.5752941176470588,0.11764705882352941,1.3891247333777132,0.34010840792761143,0.8603783340886766,0.7319434072426654,326.8178585714286,-1.0426160273333334,-0.33681151353333333,0.19971115533333333,409.77571714285716,386.90285928571427,-3.2848338,-0.9909056910666667,-2.988268380909091,-0.33961386266666665,0.3126228818181818,0.21024123666666666,5,3.3529411764705883,3.0714285714285716,0.46153846153846156,0.08150418672821633,3.142857142857143,0.17857142857142858,0.7857142857142857,0,1,11,576.8,41.2,0.9,7
26,1,19,-0.84,0.09090909090909091,1.5021737728163334,0.11202009723163603,-0.070197728238485,1.0620725205097405,315.162006,-1.4343160416666667,-0.33652770833333334,0.13506043466666667,386.539995,372.1414314285714,-1.6089715666666666,-1.32140683,-0.7292694466666667,-0.5431689916666667,0.16396549333333335,0.182125745,5.2727272727272725,2.8181818181818183,2.4210526315789473,0.2222222222222222,-0.10172135394212443,2.9473684210526314,0.42105263157894735,0.9444444444444444,0,1,7,657.6,43.7,0.8,8.2
27,0,22,-0.5578571428571428,0.14285714285714285,1.6916836326576128,0.6726471669883913,0.7773167061842998,0.7520397898603063,337.6777788888889,-1.253821207,-0.345239868,0.1659822251,393.46000200000003,405.6541691666667,-2.110024021818182,-1.3419558172727273,-1.4438168296363636,-0.38472497727272725,0.2126941890909091,0.15755315263636363,4.714285714285714,3.5714285714285716,2.590909090909091,0.47619047619047616,0.2831631730911289,3.3636363636363638,0.4090909090909091,0.7272727272727273,0,1,11,484.8,46.3,0.3,11.3
28,0,8,-1.49,0.25,2.1310059809343125,2.1962937053901017,2.04342965260667,1.0420833424716969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,2,0.375,0.7148207435033158,4,0.625,0.625,0,1,8,415.5,41.7,0.8,4.2
29,1,18,-1.2030769230769232,0.15384615384615385,1.4015868200545578,0.3570806029811128,0.8576206692556841,0.7441044208076798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6153846153846154,3.1538461538461537,3.2222222222222223,0.2222222222222222,-0.13130299265325707,2.7222222222222223,0.5,0.7777777777777778,0,1,26,260.8,40.5,0.5,6
30,0,28,-1.0264,0.08,1.040641027322207,0.2909145653295296,1.1113677868761298,0.7219702909653686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,3.16,2.857142857142857,0.38461538461538464,-0.17787521490873145,2.7142857142857144,0.6785714285714286,0.5555555555555556,0,2,22,347.2,44.3,0.3,18
31,0,14,-0.48583333333333334,0.08333333333333333,1.8337797782609024,0.8174067934983434,1.5119070851796026,1.4031434472828352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.5833333333333335,2.2857142857142856,0.42857142857142855,5.437083481264403e-4,3,0.5,0.6428571428571429,0,4,29,751.8,42.9,0.4,12.8
32,1,13,-0.7218181818181818,0.09090909090909091,1.4146408661917063,0.6821728808283873,0.7862196519267541,0.7245915609046976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.090909090909091,4.181818181818182,3.5384615384615383,0.4166666666666667,-0.020345761573696972,3.076923076923077,0.46153846153846156,0.6923076923076923,0,1,7,383.2,46.6,1,12.6
33,1,47,-0.8302631578947368,0.15789473684210525,1.3187715504067237,0.46689074614634624,0.9849870578521402,1.108841499624044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.315789473684211,3.3947368421052633,2.851063829787234,0.4444444444444444,0.09734139741307471,3.106382978723404,0.7446808510638298,0.6595744680851063,0,1,21,510.1,40.4,0.4,10.3
34,1,17,-1.062,0.1,1.720723060256737,1.0298553776326966,1.360710532726736,0.460261426887685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.7,2.764705882352941,0.5294117647058824,-0.21626695304646304,2.764705882352941,0.7058823529411765,0.5294117647058824,0,6,27,17.5,44.1,0,16
35,0,8,-1.0466666666666666,0.16666666666666666,0.448674248574357,-0.43319360044097555,0.6201837802269116,0.49738681255652056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,4.166666666666667,2.625,0.625,-0.29330695845110716,2.75,0.5,1,0,1,40,447.6,44,0,11
36,1,2,-0.44500000000000006,0,1.1558520942066597,0.6114810540993181,1.183417762841641,1.2619222043801601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.5,1,0.4370145986865872,4,0.5,0.5,0,1,24,177.6,39.1,0.1,10
